dataset_size_MB,numObjs,numCoords,numClusters,block_size,impl,memory,t_alloc_ms,t_loop_total_ms,t_loop_avg_ms,t_loop_min_ms,t_loop_max_ms,t_gpu_ms
1024.0,4194304,32,64,32,GPU KMeans (managed),Managed,,0.806895,0.08069,0.012586,0.155042,0.267855
1024.0,4194304,32,64,48,GPU KMeans (managed),Managed,,0.795387,0.079539,0.010116,0.163438,0.253981
1024.0,4194304,32,64,64,GPU KMeans (managed),Managed,,0.77184,0.077184,0.008421,0.156208,0.231533
1024.0,4194304,32,64,128,GPU KMeans (managed),Managed,,0.772426,0.077243,0.009034,0.156282,0.238278
1024.0,4194304,32,64,238,GPU KMeans (managed),Managed,,0.811623,0.081162,0.012778,0.158569,0.273685
1024.0,4194304,32,64,512,GPU KMeans (managed),Managed,,0.804029,0.080403,0.01316,0.149568,0.268455
1024.0,4194304,32,64,1024,GPU KMeans (managed),Managed,,0.833424,0.083342,0.013013,0.173088,0.291846
1024.0,4194304,32,64,32,GPU KMeans (system alloc),System,,0.959671,0.095967,0.013649,0.467148,0.442627
1024.0,4194304,32,64,48,GPU KMeans (system alloc),System,,0.959722,0.095972,0.010788,0.49312,0.428858
1024.0,4194304,32,64,64,GPU KMeans (system alloc),System,,0.941705,0.09417,0.009538,0.477951,0.417253
1024.0,4194304,32,64,128,GPU KMeans (system alloc),System,,0.956404,0.09564,0.011749,0.480736,0.438271
1024.0,4194304,32,64,238,GPU KMeans (system alloc),System,,1.151821,0.115182,0.012558,0.495343,0.634356
1024.0,4194304,32,64,512,GPU KMeans (system alloc),System,,1.171443,0.117144,0.012509,0.491069,0.647412
1024.0,4194304,32,64,1024,GPU KMeans (system alloc),System,,1.04805,0.104805,0.010533,0.470536,0.529599
1024.0,4194304,32,64,32,GPU KMeans (explicit),Explicit,,99.766016,9.976602,9.809971,11.281013,9.958148
1024.0,4194304,32,64,48,GPU KMeans (explicit),Explicit,,79.947233,7.994723,7.813215,9.49502,7.975864
1024.0,4194304,32,64,64,GPU KMeans (explicit),Explicit,,77.284098,7.72841,7.521152,9.427071,7.710123
1024.0,4194304,32,64,128,GPU KMeans (explicit),Explicit,,103.121042,10.312104,9.965897,12.326956,10.293579
1024.0,4194304,32,64,238,GPU KMeans (explicit),Explicit,,132.31802,13.231802,13.081074,14.218807,13.213372
1024.0,4194304,32,64,512,GPU KMeans (explicit),Explicit,,134.797812,13.479781,13.294935,14.464855,13.46221
1024.0,4194304,32,64,1024,GPU KMeans (explicit),Explicit,,100.800037,10.080004,9.603977,11.610985,10.062075
