impl,block_size,t_loop_avg_ms,t_gpu_ms
GPU KMeans (explicit),32,9.855509,9.826684
GPU KMeans (explicit),48,7.941794,7.92346
GPU KMeans (explicit),64,7.716298,7.697654
GPU KMeans (explicit),128,10.08029,10.062003
GPU KMeans (explicit),238,12.951398,12.933397
GPU KMeans (explicit),512,13.969994,13.950682
GPU KMeans (explicit),1024,11.577106,11.558843
GPU KMeans (managed),32,0.085435,0.302093
GPU KMeans (managed),48,0.080693,0.249794
GPU KMeans (managed),64,0.0795,0.230269
GPU KMeans (managed),128,0.079993,0.239623
GPU KMeans (managed),238,0.083709,0.275297
GPU KMeans (managed),512,0.083062,0.267056
GPU KMeans (managed),1024,0.085002,0.281383
GPU KMeans (system alloc),32,92.6826,381.443262
GPU KMeans (system alloc),48,90.742397,359.580994
GPU KMeans (system alloc),64,90.137005,349.759102
GPU KMeans (system alloc),128,90.736294,360.512018
GPU KMeans (system alloc),238,108.130598,527.676821
GPU KMeans (system alloc),512,111.248803,566.216469
GPU KMeans (system alloc),1024,109.181595,542.008162
