STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     End2End(ms)   FullE2E(ms)  
----------------------------------------------------------------------------------------------------------------
explicit               1024     1     10      0      72       0.085      --           0.053      --           0.007      --         0.000      --           0.015         0.270        
explicit               1024     1     10      10     72       0.081      --           0.038      --           0.008      --         0.029      --           0.054         1.910        
explicit               1024     1     10      25     72       0.078      --           0.037      --           0.008      --         0.016      --           0.040         1.829        
explicit               1024     1     10      30     72       0.080      --           0.037      --           0.008      --         0.015      --           0.042         1.880        
explicit               1024     1     10      50     72       0.083      --           0.041      --           0.007      --         0.023      --           0.051         1.869        
explicit               1024     1     10      70     72       0.083      --           0.045      --           0.007      --         0.017      --           0.046         1.807        
explicit               1024     1     10      80     72       0.079      --           0.047      --           0.007      --         0.018      --           0.049         1.937        
um_migrate             1024     1     10      0      72       --         1.518        --         0.138        0.008      --         0.000      --           0.015         1.797        
um_migrate             1024     1     10      10     72       --         1.531        --         0.126        2.104      --         0.234      --           3.005         11.510       
um_migrate             1024     1     10      25     72       --         1.557        --         0.120        1.729      --         0.218      --           2.410         10.558       
um_migrate             1024     1     10      30     72       --         1.534        --         0.133        1.746      --         0.227      --           2.541         9.737        
um_migrate             1024     1     10      50     72       --         1.528        --         0.098        1.239      --         0.227      --           1.773         8.218        
um_migrate             1024     1     10      70     72       --         1.536        --         0.099        0.943      --         0.166      --           1.365         7.405        
um_migrate             1024     1     10      80     72       --         1.517        --         0.083        0.592      --         0.138      --           0.829         6.377        
gh_hbm_shared          1024     1     10      0      72       --         0.200        --         --           0.008      --         0.000      --           0.015         0.351        
gh_hbm_shared          1024     1     10      10     72       --         0.213        --         --           0.010      --         0.012      --           0.094         1.900        
gh_hbm_shared          1024     1     10      25     72       --         0.203        --         --           0.010      --         0.013      --           0.088         1.808        
gh_hbm_shared          1024     1     10      30     72       --         0.216        --         --           0.009      --         0.013      --           0.084         1.863        
gh_hbm_shared          1024     1     10      50     72       --         0.199        --         --           0.009      --         0.016      --           0.075         1.790        
gh_hbm_shared          1024     1     10      70     72       --         0.209        --         --           0.010      --         0.015      --           0.066         2.167        
gh_hbm_shared          1024     1     10      80     72       --         0.197        --         --           0.009      --         0.016      --           0.060         1.806        
gh_cpu_shared          1024     1     10      0      72       --         --           --         --           0.066      --         0.000      --           0.073         0.358        
gh_cpu_shared          1024     1     10      10     72       --         --           --         --           0.059      --         0.069      --           0.146         1.720        
gh_cpu_shared          1024     1     10      25     72       --         --           --         --           0.051      --         0.015      --           0.093         1.631        
gh_cpu_shared          1024     1     10      30     72       --         --           --         --           0.048      --         0.012      --           0.089         1.627        
gh_cpu_shared          1024     1     10      50     72       --         --           --         --           0.036      --         0.015      --           0.076         1.579        
gh_cpu_shared          1024     1     10      70     72       --         --           --         --           0.025      --         0.014      --           0.060         1.587        
gh_cpu_shared          1024     1     10      80     72       --         --           --         --           0.019      --         0.014      --           0.054         1.513        
gh_hmm_pageable        1024     1     10      0      72       --         --           --         --           0.018      --         0.000      --           0.025         124.073      
gh_hmm_pageable        1024     1     10      10     72       --         --           --         --           0.009      --         0.012      --           0.060         131.380      
gh_hmm_pageable        1024     1     10      25     72       --         --           --         --           0.010      --         0.262      --           0.308         133.800      
gh_hmm_pageable        1024     1     10      30     72       --         --           --         --           0.009      --         0.013      --           0.052         124.921      
gh_hmm_pageable        1024     1     10      50     72       --         --           --         --           0.009      --         0.014      --           0.050         140.792      
gh_hmm_pageable        1024     1     10      70     72       --         --           --         --           0.008      --         0.014      --           0.044         123.305      
gh_hmm_pageable        1024     1     10      80     72       --         --           --         --           0.008      --         0.014      --           0.040         129.861      
gh_hmm_pageable_gpu_init 1024     1     10      0      72       --         --           --         --           0.008      --         0.000      --           0.015         0.241        
gh_hmm_pageable_gpu_init 1024     1     10      10     72       --         --           --         --           0.009      --         0.039      --           0.085         1.522        
gh_hmm_pageable_gpu_init 1024     1     10      25     72       --         --           --         --           0.009      --         0.014      --           0.056         1.518        
gh_hmm_pageable_gpu_init 1024     1     10      30     72       --         --           --         --           0.009      --         0.013      --           0.054         1.540        
gh_hmm_pageable_gpu_init 1024     1     10      50     72       --         --           --         --           0.009      --         0.014      --           0.050         1.472        
gh_hmm_pageable_gpu_init 1024     1     10      70     72       --         --           --         --           0.009      --         0.020      --           0.050         1.542        
gh_hmm_pageable_gpu_init 1024     1     10      80     72       --         --           --         --           0.009      --         0.015      --           0.043         1.609        
um_migrate_no_prefetch 1024     1     10      0      72       --         --           --         --           0.007      --         0.000      --           0.015         3.842        
