STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%%    Threads  Total(ms)    Cold(ms)     Warm(ms)     Read(ms)     UMback(ms)
----------------------------------------------------------------------------------------------------------------
um_migrate             2048     1     5       10     1        9.861        9.861        --           4.159        0.320     
um_migrate             2048     1     5       10     2        9.639        9.639        --           4.177        0.318     
um_migrate             2048     1     5       10     4        9.559        9.559        --           4.136        0.315     
um_migrate             2048     1     5       10     8        9.591        9.591        --           4.171        0.326     
um_migrate             2048     1     5       10     16       10.361       10.361       --           4.156        0.311     
um_migrate             2048     1     5       10     32       9.501        9.501        --           4.164        0.304     
um_migrate             2048     1     5       10     64       9.754        9.754        --           4.147        0.346     
um_migrate             2048     1     5       15     1        8.220        8.220        --           3.984        0.292     
um_migrate             2048     1     5       15     2        8.622        8.622        --           3.925        0.312     
um_migrate             2048     1     5       15     4        8.972        8.972        --           4.072        0.300     
um_migrate             2048     1     5       15     8        9.228        9.228        --           4.082        0.309     
um_migrate             2048     1     5       15     16       8.758        8.758        --           4.082        0.320     
um_migrate             2048     1     5       15     32       8.608        8.608        --           4.071        0.311     
um_migrate             2048     1     5       15     64       9.238        9.238        --           4.080        0.325     
um_migrate             2048     1     5       20     1        8.162        8.162        --           4.026        0.288     
um_migrate             2048     1     5       20     2        8.440        8.440        --           4.024        0.293     
um_migrate             2048     1     5       20     4        8.346        8.346        --           4.045        0.285     
um_migrate             2048     1     5       20     8        8.593        8.593        --           4.021        0.296     
um_migrate             2048     1     5       20     16       7.056        7.056        --           3.901        0.291     
um_migrate             2048     1     5       20     32       7.435        7.435        --           3.905        0.288     
um_migrate             2048     1     5       20     64       7.326        7.326        --           3.882        0.323     
um_migrate             2048     1     5       25     1        7.052        7.052        --           3.789        0.275     
um_migrate             2048     1     5       25     2        8.081        8.081        --           3.907        0.268     
um_migrate             2048     1     5       25     4        8.555        8.555        --           3.927        0.290     
um_migrate             2048     1     5       25     8        7.569        7.569        --           3.920        0.293     
um_migrate             2048     1     5       25     16       7.662        7.662        --           3.922        0.274     
um_migrate             2048     1     5       25     32       8.012        8.012        --           3.920        0.281     
um_migrate             2048     1     5       25     64       7.703        7.703        --           3.935        0.284     
um_migrate             2048     1     5       30     1        7.767        7.767        --           3.868        0.258     
um_migrate             2048     1     5       30     2        7.889        7.889        --           3.841        0.259     
um_migrate             2048     1     5       30     4        7.985        7.985        --           3.843        0.265     
um_migrate             2048     1     5       30     8        7.862        7.862        --           3.840        0.268     
um_migrate             2048     1     5       30     16       7.651        7.651        --           3.834        0.266     
um_migrate             2048     1     5       30     32       7.902        7.902        --           3.843        0.260     
um_migrate             2048     1     5       30     64       8.031        8.031        --           3.835        0.283     
gh_hbm_shared          2048     1     5       10     1        10.465       10.465       --           4.185        --        
gh_hbm_shared          2048     1     5       10     2        9.812        9.812        --           4.204        --        
gh_hbm_shared          2048     1     5       10     4        9.384        9.384        --           4.189        --        
gh_hbm_shared          2048     1     5       10     8        9.726        9.726        --           4.201        --        
gh_hbm_shared          2048     1     5       10     16       9.762        9.762        --           4.172        --        
gh_hbm_shared          2048     1     5       10     32       9.462        9.462        --           4.168        --        
gh_hbm_shared          2048     1     5       10     64       9.741        9.741        --           4.181        --        
gh_hbm_shared          2048     1     5       15     1        8.727        8.727        --           4.143        --        
gh_hbm_shared          2048     1     5       15     2        8.879        8.879        --           4.005        --        
gh_hbm_shared          2048     1     5       15     4        9.186        9.186        --           4.092        --        
gh_hbm_shared          2048     1     5       15     8        8.976        8.976        --           4.097        --        
gh_hbm_shared          2048     1     5       15     16       8.376        8.376        --           3.959        --        
gh_hbm_shared          2048     1     5       15     32       8.643        8.643        --           4.106        --        
gh_hbm_shared          2048     1     5       15     64       8.937        8.937        --           4.088        --        
gh_hbm_shared          2048     1     5       20     1        7.623        7.623        --           4.010        --        
gh_hbm_shared          2048     1     5       20     2        8.282        8.282        --           4.040        --        
gh_hbm_shared          2048     1     5       20     4        8.686        8.686        --           4.042        --        
