STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
----------------------------------------------------------------------------------------------------------------
explicit               1024     1     10      0      72       0.089      --           0.056      --           0.007      --         0.000      --           0.123         0.015         0.282        
explicit               1024     1     10      10     72       0.081      --           0.036      --           0.008      --         0.030      --           1.709         0.130         2.285        
explicit               1024     1     10      25     72       0.082      --           0.036      --           0.008      --         0.061      --           1.733         0.167         2.305        
explicit               1024     1     10      30     72       0.081      --           0.036      --           0.008      --         0.037      --           1.714         0.142         2.246        
explicit               1024     1     10      50     72       0.084      --           0.036      --           0.008      --         0.040      --           1.683         0.150         2.166        
explicit               1024     1     10      70     72       0.079      --           0.036      --           0.008      --         0.045      --           1.680         0.161         2.115        
explicit               1024     1     10      80     72       0.083      --           0.036      --           0.008      --         0.081      --           1.754         0.201         2.205        
um_migrate             1024     1     10      0      72       --         1.497        --         0.137        0.008      --         0.000      --           0.127         0.015         1.776        
um_migrate             1024     1     10      10     72       --         1.496        --         0.133        1.949      --         0.227      --           7.062         2.868         11.559       
um_migrate             1024     1     10      25     72       --         1.466        --         0.111        1.763      --         0.144      --           5.868         2.446         9.891        
um_migrate             1024     1     10      30     72       --         1.492        --         0.112        1.835      --         0.222      --           6.116         2.604         10.324       
um_migrate             1024     1     10      50     72       --         1.481        --         0.107        1.281      --         0.211      --           5.055         1.816         8.459        
um_migrate             1024     1     10      70     72       --         1.482        --         0.101        0.887      --         0.180      --           4.377         1.293         7.253        
um_migrate             1024     1     10      80     72       --         1.481        --         0.098        0.356      --         0.120      --           3.929         0.552         6.060        
gh_hbm_shared          1024     1     10      0      72       --         0.222        --         --           0.008      --         0.000      --           0.147         0.015         0.384        
gh_hbm_shared          1024     1     10      10     72       --         0.206        --         --           0.009      --         0.011      --           1.585         0.094         1.885        
gh_hbm_shared          1024     1     10      25     72       --         0.225        --         --           0.009      --         0.013      --           1.523         0.088         1.836        
gh_hbm_shared          1024     1     10      30     72       --         0.191        --         --           0.009      --         0.014      --           1.504         0.085         1.780        
gh_hbm_shared          1024     1     10      50     72       --         0.216        --         --           0.009      --         0.015      --           1.532         0.074         1.821        
gh_hbm_shared          1024     1     10      70     72       --         0.205        --         --           0.009      --         0.015      --           1.527         0.064         1.796        
gh_hbm_shared          1024     1     10      80     72       --         0.214        --         --           0.008      --         0.015      --           1.523         0.059         1.796        
gh_cpu_shared          1024     1     10      0      72       --         --           --         --           0.066      --         0.000      --           0.284         0.074         0.358        
gh_cpu_shared          1024     1     10      10     72       --         --           --         --           0.060      --         0.048      --           1.584         0.131         1.715        
gh_cpu_shared          1024     1     10      25     72       --         --           --         --           0.051      --         0.024      --           1.559         0.100         1.659        
gh_cpu_shared          1024     1     10      30     72       --         --           --         --           0.048      --         0.013      --           1.594         0.090         1.684        
gh_cpu_shared          1024     1     10      50     72       --         --           --         --           0.037      --         0.016      --           1.490         0.076         1.566        
gh_cpu_shared          1024     1     10      70     72       --         --           --         --           0.025      --         0.014      --           1.502         0.062         1.563        
gh_cpu_shared          1024     1     10      80     72       --         --           --         --           0.019      --         0.015      --           1.509         0.053         1.562        
gh_hmm_pageable        1024     1     10      0      72       --         --           --         --           0.008      --         0.000      --           125.167       0.015         125.182      
gh_hmm_pageable        1024     1     10      10     72       --         --           --         --           0.009      --         0.012      --           128.225       0.057         128.282      
gh_hmm_pageable        1024     1     10      25     72       --         --           --         --           0.010      --         0.016      --           124.738       0.066         124.804      
gh_hmm_pageable        1024     1     10      30     72       --         --           --         --           0.009      --         0.012      --           128.192       0.053         128.245      
gh_hmm_pageable        1024     1     10      50     72       --         --           --         --           0.008      --         0.014      --           123.618       0.049         123.667      
gh_hmm_pageable        1024     1     10      70     72       --         --           --         --           0.008      --         0.014      --           123.515       0.044         123.559      
gh_hmm_pageable        1024     1     10      80     72       --         --           --         --           0.008      --         0.015      --           126.300       0.042         126.342      
gh_hmm_pageable_gpu_init 1024     1     10      0      72       --         --           --         --           0.007      --         0.000      --           0.056         0.015         0.071        
gh_hmm_pageable_gpu_init 1024     1     10      10     72       --         --           --         --           0.010      --         0.012      --           1.446         0.059         1.505        
gh_hmm_pageable_gpu_init 1024     1     10      25     72       --         --           --         --           0.009      --         0.014      --           1.498         0.056         1.554        
gh_hmm_pageable_gpu_init 1024     1     10      30     72       --         --           --         --           0.009      --         0.013      --           1.545         0.054         1.599        
gh_hmm_pageable_gpu_init 1024     1     10      50     72       --         --           --         --           0.009      --         0.014      --           1.454         0.050         1.504        
gh_hmm_pageable_gpu_init 1024     1     10      70     72       --         --           --         --           0.008      --         0.015      --           1.460         0.045         1.505        
gh_hmm_pageable_gpu_init 1024     1     10      80     72       --         --           --         --           0.008      --         0.015      --           1.603         0.043         1.646        
um_migrate_no_prefetch 1024     1     10      0      72       --         --           --         --           0.007      --         0.000      --           3.602         0.015         3.617        
um_migrate_no_prefetch 1024     1     10      10     72       --         --           --         --           2.006      --         0.235      --           7.138         2.889         10.027       
um_migrate_no_prefetch 1024     1     10      25     72       --         --           --         --           1.662      --         0.205      --           6.410         2.354         8.764        
um_migrate_no_prefetch 1024     1     10      30     72       --         --           --         --           1.653      --         0.235      --           5.631         2.346         7.977        
um_migrate_no_prefetch 1024     1     10      50     72       --         --           --         --           1.227      --         0.224      --           5.070         1.775         6.845        
um_migrate_no_prefetch 1024     1     10      70     72       --         --           --         --           0.867      --         0.175      --           4.026         1.268         5.294        
um_migrate_no_prefetch 1024     1     10      80     72       --         --           --         --           0.452      --         0.145      --           3.563         0.697         4.260        
gh_hbm_shared_no_prefetch 1024     1     10      0      72       --         --           --         --           0.007      --         0.000      --           0.513         0.014         0.528        
gh_hbm_shared_no_prefetch 1024     1     10      10     72       --         --           --         --           0.009      --         0.012      --           1.751         0.094         1.845        
gh_hbm_shared_no_prefetch 1024     1     10      25     72       --         --           --         --           0.010      --         0.016      --           1.780         0.090         1.870        
gh_hbm_shared_no_prefetch 1024     1     10      30     72       --         --           --         --           0.009      --         0.015      --           1.565         0.085         1.650        
gh_hbm_shared_no_prefetch 1024     1     10      50     72       --         --           --         --           0.009      --         0.018      --           1.672         0.077         1.749        
gh_hbm_shared_no_prefetch 1024     1     10      70     72       --         --           --         --           0.009      --         0.015      --           1.561         0.064         1.625        
gh_hbm_shared_no_prefetch 1024     1     10      80     72       --         --           --         --           0.008      --         0.016      --           1.531         0.060         1.591        
----------------------------------------------------------------------------------------------------------------
explicit               1024     2     10      0      72       0.099      --           0.057      --           0.014      --         0.000      --           0.144         0.028         0.328        
explicit               1024     2     10      10     72       0.085      --           0.035      --           0.018      --         0.075      --           1.943         0.277         2.997        
explicit               1024     2     10      25     72       0.078      --           0.036      --           0.015      --         0.063      --           1.929         0.269         2.880        
explicit               1024     2     10      30     72       0.077      --           0.036      --           0.015      --         0.064      --           1.991         0.269         2.912        
explicit               1024     2     10      50     72       0.080      --           0.036      --           0.014      --         0.077      --           2.054         0.295         2.901        
explicit               1024     2     10      70     72       0.077      --           0.036      --           0.015      --         0.082      --           1.990         0.307         2.737        
explicit               1024     2     10      80     72       0.080      --           0.036      --           0.014      --         0.089      --           2.012         0.321         2.706        
um_migrate             1024     2     10      0      72       --         1.504        --         0.120        0.014      --         0.000      --           0.152         0.029         1.805        
um_migrate             1024     2     10      10     72       --         1.483        --         0.130        3.545      --         0.311      --           12.646        5.372         19.632       
um_migrate             1024     2     10      25     72       --         1.482        --         0.125        2.918      --         0.359      --           11.405        4.495         17.507       
um_migrate             1024     2     10      30     72       --         1.510        --         0.108        2.904      --         0.370      --           10.232        4.522         16.372       
um_migrate             1024     2     10      50     72       --         1.506        --         0.115        2.665      --         0.323      --           9.105         3.926         14.652       
um_migrate             1024     2     10      70     72       --         1.498        --         0.096        0.838      --         0.155      --           6.932         1.285         9.811        
um_migrate             1024     2     10      80     72       --         1.514        --         0.087        0.264      --         0.096      --           6.761         0.513         8.875        
gh_hbm_shared          1024     2     10      0      72       --         0.207        --         --           0.014      --         0.000      --           0.170         0.028         0.406        
gh_hbm_shared          1024     2     10      10     72       --         0.186        --         --           0.017      --         0.024      --           1.720         0.187         2.093        
