STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
----------------------------------------------------------------------------------------------------------------
explicit               1024     1     10      0      72       0.089      --           0.057      --           0.008      --         0.000      --           0.120         0.015         0.280        
explicit               1024     1     10      10     72       0.084      --           0.037      --           0.008      --         0.013      --           1.680         0.036         1.837        
explicit               1024     1     10      25     72       0.083      --           0.038      --           0.008      --         0.014      --           1.706         0.039         1.866        
explicit               1024     1     10      30     72       0.081      --           0.038      --           0.008      --         0.016      --           1.770         0.042         1.931        
explicit               1024     1     10      50     72       0.083      --           0.042      --           0.007      --         0.018      --           1.706         0.046         1.877        
explicit               1024     1     10      70     72       0.081      --           0.044      --           0.007      --         0.017      --           1.680         0.047         1.852        
explicit               1024     1     10      80     72       0.082      --           0.047      --           0.007      --         0.018      --           1.754         0.050         1.933        
um_migrate             1024     1     10      0      72       --         1.493        --         0.128        0.007      --         0.000      --           0.126         0.015         1.762        
um_migrate             1024     1     10      10     72       --         1.481        --         0.124        1.886      --         0.252      --           6.533         2.763         10.901       
um_migrate             1024     1     10      25     72       --         1.475        --         0.130        1.848      --         0.193      --           5.811         2.629         10.045       
um_migrate             1024     1     10      30     72       --         1.470        --         0.122        1.749      --         0.207      --           6.180         2.525         10.297       
um_migrate             1024     1     10      50     72       --         1.492        --         0.108        1.275      --         0.203      --           5.354         1.863         8.817        
um_migrate             1024     1     10      70     72       --         1.488        --         0.101        0.932      --         0.167      --           4.287         1.352         7.228        
um_migrate             1024     1     10      80     72       --         1.493        --         0.082        0.535      --         0.124      --           3.850         0.791         6.216        
gh_hbm_shared          1024     1     10      0      72       --         0.205        --         --           0.008      --         0.000      --           0.147         0.015         0.367        
gh_hbm_shared          1024     1     10      10     72       --         0.197        --         --           0.009      --         0.015      --           1.893         0.098         2.188        
gh_hbm_shared          1024     1     10      25     72       --         0.219        --         --           0.009      --         0.013      --           1.548         0.086         1.853        
gh_hbm_shared          1024     1     10      30     72       --         0.239        --         --           0.008      --         0.013      --           1.565         0.083         1.887        
gh_hbm_shared          1024     1     10      50     72       --         0.193        --         --           0.009      --         0.014      --           1.527         0.075         1.794        
gh_hbm_shared          1024     1     10      70     72       --         0.198        --         --           0.009      --         0.015      --           1.515         0.064         1.778        
gh_hbm_shared          1024     1     10      80     72       --         0.219        --         --           0.008      --         0.015      --           1.526         0.059         1.804        
gh_cpu_shared          1024     1     10      0      72       --         --           --         --           0.066      --         0.000      --           0.282         0.074         0.356        
gh_cpu_shared          1024     1     10      10     72       --         --           --         --           0.050      --         0.011      --           1.536         0.097         1.632        
gh_cpu_shared          1024     1     10      25     72       --         --           --         --           0.051      --         0.014      --           1.559         0.094         1.653        
gh_cpu_shared          1024     1     10      30     72       --         --           --         --           0.048      --         0.018      --           1.568         0.092         1.660        
gh_cpu_shared          1024     1     10      50     72       --         --           --         --           0.036      --         0.015      --           1.516         0.075         1.591        
gh_cpu_shared          1024     1     10      70     72       --         --           --         --           0.025      --         0.014      --           1.530         0.061         1.591        
gh_cpu_shared          1024     1     10      80     72       --         --           --         --           0.020      --         0.015      --           1.532         0.053         1.585        
gh_hmm_pageable        1024     1     10      0      72       --         --           --         --           0.008      --         0.000      --           123.585       0.015         123.600      
gh_hmm_pageable        1024     1     10      10     72       --         --           --         --           0.009      --         0.011      --           127.750       0.058         127.808      
gh_hmm_pageable        1024     1     10      25     72       --         --           --         --           0.009      --         0.012      --           125.854       0.055         125.909      
gh_hmm_pageable        1024     1     10      30     72       --         --           --         --           0.009      --         0.013      --           126.679       0.055         126.734      
gh_hmm_pageable        1024     1     10      50     72       --         --           --         --           0.009      --         0.013      --           128.650       0.049         128.699      
gh_hmm_pageable        1024     1     10      70     72       --         --           --         --           0.008      --         0.014      --           123.000       0.046         123.046      
gh_hmm_pageable        1024     1     10      80     72       --         --           --         --           0.008      --         0.014      --           122.907       0.041         122.948      
gh_hmm_pageable_gpu_init 1024     1     10      0      72       --         --           --         --           0.008      --         0.000      --           0.058         0.015         0.073        
gh_hmm_pageable_gpu_init 1024     1     10      10     72       --         --           --         --           0.009      --         0.012      --           1.463         0.058         1.521        
gh_hmm_pageable_gpu_init 1024     1     10      25     72       --         --           --         --           0.009      --         0.013      --           1.457         0.056         1.513        
gh_hmm_pageable_gpu_init 1024     1     10      30     72       --         --           --         --           0.010      --         0.042      --           1.487         0.087         1.574        
gh_hmm_pageable_gpu_init 1024     1     10      50     72       --         --           --         --           0.009      --         0.015      --           1.445         0.049         1.494        
gh_hmm_pageable_gpu_init 1024     1     10      70     72       --         --           --         --           0.009      --         0.016      --           1.445         0.045         1.490        
gh_hmm_pageable_gpu_init 1024     1     10      80     72       --         --           --         --           0.009      --         0.018      --           1.491         0.045         1.536        
um_migrate_no_prefetch 1024     1     10      0      72       --         --           --         --           0.007      --         0.000      --           3.676         0.015         3.691        
um_migrate_no_prefetch 1024     1     10      10     72       --         --           --         --           2.063      --         0.234      --           6.969         2.872         9.841        
um_migrate_no_prefetch 1024     1     10      25     72       --         --           --         --           1.819      --         0.152      --           6.187         2.507         8.694        
um_migrate_no_prefetch 1024     1     10      30     72       --         --           --         --           1.759      --         0.244      --           6.159         2.514         8.673        
um_migrate_no_prefetch 1024     1     10      50     72       --         --           --         --           1.158      --         0.211      --           4.968         1.744         6.712        
um_migrate_no_prefetch 1024     1     10      70     72       --         --           --         --           0.863      --         0.176      --           3.621         1.226         4.847        
um_migrate_no_prefetch 1024     1     10      80     72       --         --           --         --           0.603      --         0.163      --           3.353         0.873         4.226        
