mode,N,frac,t_end_2_end_ms,t_end_2_end_norm_frac0
explicit,2048,0.000000,155.312000,1.000000
explicit,2048,0.200000,154.433000,0.994340
explicit,2048,0.400000,156.348000,1.006670
explicit,2048,0.600000,161.187000,1.037827
explicit,2048,0.800000,154.302000,0.993497
explicit,2048,1.000000,155.990000,1.004365
explicit,4096,0.000000,268.804000,1.000000
explicit,4096,0.200000,270.736000,1.007187
explicit,4096,0.400000,275.020000,1.023125
explicit,4096,0.600000,283.913000,1.056208
explicit,4096,0.800000,284.843000,1.059668
explicit,4096,1.000000,292.062000,1.086524
explicit,8192,0.000000,737.519000,1.000000
explicit,8192,0.200000,747.978000,1.014181
explicit,8192,0.400000,778.665000,1.055790
explicit,8192,0.600000,814.237000,1.104022
explicit,8192,0.800000,821.097000,1.113323
explicit,8192,1.000000,848.169000,1.150030
gh_hbm_shared,2048,0.000000,162.615000,1.000000
gh_hbm_shared,2048,0.200000,165.152000,1.015601
gh_hbm_shared,2048,0.400000,158.059000,0.971983
gh_hbm_shared,2048,0.600000,165.539000,1.017981
gh_hbm_shared,2048,0.800000,174.346000,1.072140
gh_hbm_shared,2048,1.000000,159.050000,0.978077
gh_hbm_shared,4096,0.000000,316.788000,1.000000
gh_hbm_shared,4096,0.200000,316.523000,0.999163
gh_hbm_shared,4096,0.400000,326.731000,1.031387
gh_hbm_shared,4096,0.600000,341.779000,1.078889
gh_hbm_shared,4096,0.800000,361.629000,1.141549
gh_hbm_shared,4096,1.000000,371.484000,1.172658
gh_hbm_shared,8192,0.000000,925.917000,1.000000
gh_hbm_shared,8192,0.200000,962.062000,1.039037
gh_hbm_shared,8192,0.400000,1004.858000,1.085257
gh_hbm_shared,8192,0.600000,1053.560000,1.137856
gh_hbm_shared,8192,0.800000,1115.958000,1.205246
gh_hbm_shared,8192,1.000000,1116.249000,1.205561
gh_hmm_pageable,2048,0.000000,162.082000,1.000000
gh_hmm_pageable,2048,0.200000,166.811000,1.029177
gh_hmm_pageable,2048,0.400000,160.597000,0.990838
gh_hmm_pageable,2048,0.600000,161.610000,0.997088
