N,iters,frac,mode,metric,time_ms,bandwidth_GBps
1024,1,0.0,explicit,WARMUP GPU Kernel (first iter),0.082,
1024,1,0.0,explicit,WARMUP total time,0.301,
1024,1,0.0,explicit,Pre Kernel Costs,0.089,
1024,1,0.0,explicit,H2D once,0.089,
1024,1,0.0,explicit,D2H avg per-iter,0.035,
1024,1,0.0,explicit,GPU Kernel avg,0.008,
1024,1,0.0,explicit,GPU Kernel total,0.008,
1024,1,0.0,explicit,Compute E2E (avg per-iter),0.073,
1024,1,0.0,explicit,Compute E2E (whole loop),1.029,
1024,1,0.0,explicit,Full    E2E,1.118,
1024,1,0.0,explicit,CPU read time,0.649,
1024,1,0.0,um_migrate,WARMUP GPU Kernel (first iter),0.085,
1024,1,0.0,um_migrate,WARMUP total time,0.187,
1024,1,0.0,um_migrate,Pre Kernel Costs,1.536,
1024,1,0.0,um_migrate,UM prefetch-to-GPU,1.535,
1024,1,0.0,um_migrate,UM prefetch-to-CPU (post),0.113,
1024,1,0.0,um_migrate,GPU Kernel avg,0.008,
1024,1,0.0,um_migrate,GPU Kernel total,0.008,
1024,1,0.0,um_migrate,Compute E2E (avg per-iter),0.031,
1024,1,0.0,um_migrate,Compute E2E (whole loop),0.977,
1024,1,0.0,um_migrate,Full    E2E,2.513,
1024,1,0.0,um_migrate,CPU read time,0.642,
1024,1,0.0,um_migrate_no_prefetch,WARMUP GPU Kernel (first iter),3.583,
1024,1,0.0,um_migrate_no_prefetch,WARMUP total time,3.706,
1024,1,0.0,um_migrate_no_prefetch,Pre Kernel Costs,0.0,
1024,1,0.0,um_migrate_no_prefetch,GPU Kernel avg,0.008,
1024,1,0.0,um_migrate_no_prefetch,GPU Kernel total,0.008,
1024,1,0.0,um_migrate_no_prefetch,Compute E2E (avg per-iter),0.033,
1024,1,0.0,um_migrate_no_prefetch,Compute E2E (whole loop),4.896,
1024,1,0.0,um_migrate_no_prefetch,Full    E2E,4.896,
1024,1,0.0,um_migrate_no_prefetch,CPU read time,1.153,
