section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,2048,5,0.1,um_migrate,3.635,18.46
HYBRID SWEEP,2048,5,0.1,um_migrate_no_prefetch,3.238,20.73
HYBRID SWEEP,2048,5,0.1,gh_hbm_shared,0.077,872.21
HYBRID SWEEP,2048,5,0.1,gh_hbm_shared_no_prefetch,0.08,838.66
HYBRID SWEEP,2048,5,0.1,gh_cpu_shared,1.41,47.61
HYBRID SWEEP,2048,5,0.1,gh_hmm_pageable,2.84,23.63
HYBRID SWEEP,2048,5,0.1,gh_hmm_pageable_cuda_init,0.086,778.8
HYBRID SWEEP,2048,5,0.2,um_migrate,3.343,20.08
HYBRID SWEEP,2048,5,0.2,um_migrate_no_prefetch,3.49,19.23
HYBRID SWEEP,2048,5,0.2,gh_hbm_shared,0.074,911.88
HYBRID SWEEP,2048,5,0.2,gh_hbm_shared_no_prefetch,0.072,926.71
HYBRID SWEEP,2048,5,0.2,gh_cpu_shared,1.386,48.42
HYBRID SWEEP,2048,5,0.2,gh_hmm_pageable,2.426,27.67
HYBRID SWEEP,2048,5,0.2,gh_hmm_pageable_cuda_init,0.072,927.53
HYBRID SWEEP,2048,5,0.3,um_migrate,3.956,16.96
HYBRID SWEEP,2048,5,0.3,um_migrate_no_prefetch,2.566,26.16
HYBRID SWEEP,2048,5,0.3,gh_hbm_shared,0.065,1032.47
HYBRID SWEEP,2048,5,0.3,gh_hbm_shared_no_prefetch,0.066,1014.0
HYBRID SWEEP,2048,5,0.3,gh_cpu_shared,1.259,53.32
HYBRID SWEEP,2048,5,0.3,gh_hmm_pageable,1.993,33.67
HYBRID SWEEP,2048,5,0.3,gh_hmm_pageable_cuda_init,0.065,1032.27
HYBRID SWEEP,2048,5,0.4,um_migrate,4.237,15.84
HYBRID SWEEP,2048,5,0.4,um_migrate_no_prefetch,2.241,29.95
HYBRID SWEEP,2048,5,0.4,gh_hbm_shared,0.06,1125.93
HYBRID SWEEP,2048,5,0.4,gh_hbm_shared_no_prefetch,0.061,1103.3
HYBRID SWEEP,2048,5,0.4,gh_cpu_shared,0.948,70.82
HYBRID SWEEP,2048,5,0.4,gh_hmm_pageable,2.254,29.77
HYBRID SWEEP,2048,5,0.4,gh_hmm_pageable_cuda_init,0.057,1171.46
HYBRID SWEEP,2048,5,0.5,um_migrate,2.896,23.17
HYBRID SWEEP,2048,5,0.5,um_migrate_no_prefetch,1.942,34.55
