N,iters,mode,kernel_ms,bandwidth_GBps
2048,5,explicit,0.036,1850.97
2048,5,explicit_async,0.037,1821.08
2048,5,um_migrate,0.037,1795.51
2048,5,um_migrate_no_prefetch,2.012,33.36
2048,5,gh_hbm_shared,0.058,1165.34
2048,5,gh_hbm_shared_no_prefetch,0.171,393.59
2048,5,gh_cpu_shared,0.242,277.39
2048,5,gh_hmm_pageable,1.906,35.22
2048,5,gh_hmm_pageable_cuda_init,0.029,2336.92
2048,10,explicit,0.028,2419.7
2048,10,explicit_async,0.029,2297.75
2048,10,um_migrate,0.029,2318.06
2048,10,um_migrate_no_prefetch,1.005,66.8
2048,10,gh_hbm_shared,0.037,1801.83
2048,10,gh_hbm_shared_no_prefetch,0.103,650.18
2048,10,gh_cpu_shared,0.214,312.9
2048,10,gh_hmm_pageable,0.87,77.12
2048,10,gh_hmm_pageable_cuda_init,0.048,1400.44
4096,5,explicit,0.094,2843.98
4096,5,explicit_async,0.094,2849.97
4096,5,um_migrate,0.103,2612.79
4096,5,um_migrate_no_prefetch,6.559,40.92
4096,5,gh_hbm_shared,0.115,2330.43
4096,5,gh_hbm_shared_no_prefetch,0.894,300.11
4096,5,gh_cpu_shared,0.831,322.89
4096,5,gh_hmm_pageable,5.588,48.04
4096,5,gh_hmm_pageable_cuda_init,0.109,2470.73
4096,10,explicit,0.088,3065.68
4096,10,explicit_async,0.089,3013.69
4096,10,um_migrate,0.091,2945.85
4096,10,um_migrate_no_prefetch,3.305,81.22
4096,10,gh_hbm_shared,0.099,2716.78
4096,10,gh_hbm_shared_no_prefetch,0.379,707.53
4096,10,gh_cpu_shared,0.798,336.43
4096,10,gh_hmm_pageable,3.086,86.99
4096,10,gh_hmm_pageable_cuda_init,0.106,2530.58
8192,5,explicit,0.315,3408.27
8192,5,explicit_async,0.319,3361.63
8192,5,um_migrate,0.34,3159.25
8192,5,um_migrate_no_prefetch,25.364,42.33
8192,5,gh_hbm_shared,0.354,3033.64
8192,5,gh_hbm_shared_no_prefetch,1.785,601.38
8192,5,gh_cpu_shared,3.053,351.71
8192,5,gh_hmm_pageable,32.741,32.8
8192,5,gh_hmm_pageable_cuda_init,0.442,2428.45
8192,10,explicit,0.314,3416.53
8192,10,explicit_async,0.317,3392.52
8192,10,um_migrate,0.326,3292.2
8192,10,um_migrate_no_prefetch,12.899,83.24
8192,10,gh_hbm_shared,0.334,3216.98
8192,10,gh_hbm_shared_no_prefetch,1.043,1029.34
8192,10,gh_cpu_shared,2.992,358.92
8192,10,gh_hmm_pageable,12.71,84.48
8192,10,gh_hmm_pageable_cuda_init,0.439,2447.66
