N,iters,mode,kernel_ms,bandwidth_GBps
2048,5,explicit,0.037,1814.46
2048,5,explicit_async,0.036,1855.89
2048,5,um_migrate,0.039,1719.54
2048,5,um_migrate_no_prefetch,1.897,35.38
2048,5,gh_hbm_shared,0.038,1777.55
2048,5,gh_hbm_shared_no_prefetch,1.925,34.87
2048,5,gh_cpu_shared,0.22,304.81
2048,5,gh_hmm_pageable,1.905,35.23
2048,5,gh_hmm_pageable_cuda_init,0.029,2280.01
2048,10,explicit,0.029,2332.24
2048,10,explicit_async,0.03,2265.97
2048,10,um_migrate,0.029,2286.47
2048,10,um_migrate_no_prefetch,0.994,67.54
2048,10,gh_hbm_shared,0.029,2307.35
2048,10,gh_hbm_shared_no_prefetch,0.975,68.82
2048,10,gh_cpu_shared,0.2,335.74
2048,10,gh_hmm_pageable,1.075,62.45
2048,10,gh_hmm_pageable_cuda_init,0.029,2341.09
4096,5,explicit,0.095,2820.27
4096,5,explicit_async,0.093,2887.05
4096,5,um_migrate,0.1,2674.94
4096,5,um_migrate_no_prefetch,6.652,40.35
4096,5,gh_hbm_shared,0.1,2680.41
4096,5,gh_hbm_shared_no_prefetch,6.526,41.14
4096,5,gh_cpu_shared,0.769,349.18
4096,5,gh_hmm_pageable,6.999,38.35
4096,5,gh_hmm_pageable_cuda_init,0.108,2495.87
4096,10,explicit,0.088,3056.52
4096,10,explicit_async,0.087,3099.32
4096,10,um_migrate,0.09,2995.93
4096,10,um_migrate_no_prefetch,3.348,80.19
4096,10,gh_hbm_shared,0.09,2976.06
4096,10,gh_hbm_shared_no_prefetch,3.336,80.47
4096,10,gh_cpu_shared,0.734,365.71
4096,10,gh_hmm_pageable,3.901,68.8
4096,10,gh_hmm_pageable_cuda_init,0.107,2501.97
8192,5,explicit,0.315,3407.65
8192,5,explicit_async,0.315,3405.5
8192,5,um_migrate,0.334,3217.91
8192,5,um_migrate_no_prefetch,25.149,42.69
8192,5,gh_hbm_shared,0.334,3219.39
8192,5,gh_hbm_shared_no_prefetch,24.334,44.12
8192,5,gh_cpu_shared,2.867,374.56
8192,5,gh_hmm_pageable,38.153,28.14
8192,5,gh_hmm_pageable_cuda_init,0.434,2476.2
8192,10,explicit,0.311,3452.99
8192,10,explicit_async,0.311,3456.44
8192,10,um_migrate,0.32,3351.15
8192,10,um_migrate_no_prefetch,12.393,86.64
8192,10,gh_hbm_shared,0.321,3339.85
8192,10,gh_hbm_shared_no_prefetch,12.428,86.4
8192,10,gh_cpu_shared,2.825,380.12
8192,10,gh_hmm_pageable,19.708,54.48
8192,10,gh_hmm_pageable_cuda_init,0.429,2500.11
