section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,2048,5,0.1,um_migrate,3.371,19.91
HYBRID SWEEP,2048,5,0.1,um_migrate_no_prefetch,2.382,28.17
HYBRID SWEEP,2048,5,0.1,gh_hbm_shared,3.342,20.08
HYBRID SWEEP,2048,5,0.1,gh_hbm_shared_no_prefetch,2.905,23.1
HYBRID SWEEP,2048,5,0.1,gh_cpu_shared,1.367,49.1
HYBRID SWEEP,2048,5,0.1,gh_hmm_pageable,3.738,17.95
HYBRID SWEEP,2048,5,0.1,gh_hmm_pageable_cuda_init,0.085,791.86
HYBRID SWEEP,2048,5,0.2,um_migrate,3.927,17.09
HYBRID SWEEP,2048,5,0.2,um_migrate_no_prefetch,3.005,22.33
HYBRID SWEEP,2048,5,0.2,gh_hbm_shared,3.267,20.54
HYBRID SWEEP,2048,5,0.2,gh_hbm_shared_no_prefetch,2.155,31.14
HYBRID SWEEP,2048,5,0.2,gh_cpu_shared,1.381,48.6
HYBRID SWEEP,2048,5,0.2,gh_hmm_pageable,3.42,19.62
HYBRID SWEEP,2048,5,0.2,gh_hmm_pageable_cuda_init,0.077,866.88
HYBRID SWEEP,2048,5,0.3,um_migrate,3.873,17.33
HYBRID SWEEP,2048,5,0.3,um_migrate_no_prefetch,2.25,29.83
HYBRID SWEEP,2048,5,0.3,gh_hbm_shared,3.529,19.02
HYBRID SWEEP,2048,5,0.3,gh_hbm_shared_no_prefetch,2.646,25.36
HYBRID SWEEP,2048,5,0.3,gh_cpu_shared,1.27,52.86
HYBRID SWEEP,2048,5,0.3,gh_hmm_pageable,2.266,29.61
HYBRID SWEEP,2048,5,0.3,gh_hmm_pageable_cuda_init,0.065,1034.92
HYBRID SWEEP,2048,5,0.4,um_migrate,4.278,15.69
HYBRID SWEEP,2048,5,0.4,um_migrate_no_prefetch,2.01,33.38
HYBRID SWEEP,2048,5,0.4,gh_hbm_shared,3.525,19.04
HYBRID SWEEP,2048,5,0.4,gh_hbm_shared_no_prefetch,2.599,25.82
HYBRID SWEEP,2048,5,0.4,gh_cpu_shared,1.004,66.82
HYBRID SWEEP,2048,5,0.4,gh_hmm_pageable,2.9,23.14
HYBRID SWEEP,2048,5,0.4,gh_hmm_pageable_cuda_init,0.061,1092.38
HYBRID SWEEP,2048,5,0.5,um_migrate,2.781,24.13
HYBRID SWEEP,2048,5,0.5,um_migrate_no_prefetch,1.571,42.73
HYBRID SWEEP,2048,5,0.5,gh_hbm_shared,2.88,23.3
HYBRID SWEEP,2048,5,0.5,gh_hbm_shared_no_prefetch,1.964,34.16
HYBRID SWEEP,2048,5,0.5,gh_cpu_shared,0.813,82.59
HYBRID SWEEP,2048,5,0.5,gh_hmm_pageable,1.959,34.26
HYBRID SWEEP,2048,5,0.5,gh_hmm_pageable_cuda_init,0.054,1246.67
HYBRID SWEEP,2048,5,0.7,um_migrate,4.78,14.04
HYBRID SWEEP,2048,5,0.7,um_migrate_no_prefetch,2.82,23.8
HYBRID SWEEP,2048,5,0.7,gh_hbm_shared,5.869,11.43
HYBRID SWEEP,2048,5,0.7,gh_hbm_shared_no_prefetch,3.578,18.76
HYBRID SWEEP,2048,5,0.7,gh_cpu_shared,0.498,134.81
HYBRID SWEEP,2048,5,0.7,gh_hmm_pageable,0.716,93.67
HYBRID SWEEP,2048,5,0.7,gh_hmm_pageable_cuda_init,0.041,1645.34
HYBRID SWEEP,2048,5,0.8,um_migrate,5.424,12.37
HYBRID SWEEP,2048,5,0.8,um_migrate_no_prefetch,4.039,16.62
HYBRID SWEEP,2048,5,0.8,gh_hbm_shared,4.314,15.56
HYBRID SWEEP,2048,5,0.8,gh_hbm_shared_no_prefetch,4.066,16.5
HYBRID SWEEP,2048,5,0.8,gh_cpu_shared,0.31,216.52
HYBRID SWEEP,2048,5,0.8,gh_hmm_pageable,0.498,134.62
HYBRID SWEEP,2048,5,0.8,gh_hmm_pageable_cuda_init,0.035,1924.7
HYBRID SWEEP,2048,10,0.1,um_migrate,3.047,22.02
HYBRID SWEEP,2048,10,0.1,um_migrate_no_prefetch,2.291,29.29
HYBRID SWEEP,2048,10,0.1,gh_hbm_shared,2.716,24.71
HYBRID SWEEP,2048,10,0.1,gh_hbm_shared_no_prefetch,2.418,27.76
HYBRID SWEEP,2048,10,0.1,gh_cpu_shared,1.531,43.82
HYBRID SWEEP,2048,10,0.1,gh_hmm_pageable,1.831,36.65
HYBRID SWEEP,2048,10,0.1,gh_hmm_pageable_cuda_init,0.084,798.7
HYBRID SWEEP,2048,10,0.2,um_migrate,3.054,21.97
HYBRID SWEEP,2048,10,0.2,um_migrate_no_prefetch,2.498,26.86
HYBRID SWEEP,2048,10,0.2,gh_hbm_shared,2.573,26.08
HYBRID SWEEP,2048,10,0.2,gh_hbm_shared_no_prefetch,2.676,25.08
HYBRID SWEEP,2048,10,0.2,gh_cpu_shared,1.272,52.78
HYBRID SWEEP,2048,10,0.2,gh_hmm_pageable,1.742,38.53
HYBRID SWEEP,2048,10,0.2,gh_hmm_pageable_cuda_init,0.072,931.74
HYBRID SWEEP,2048,10,0.3,um_migrate,3.4,19.74
HYBRID SWEEP,2048,10,0.3,um_migrate_no_prefetch,2.521,26.62
HYBRID SWEEP,2048,10,0.3,gh_hbm_shared,3.519,19.07
HYBRID SWEEP,2048,10,0.3,gh_hbm_shared_no_prefetch,2.597,25.84
HYBRID SWEEP,2048,10,0.3,gh_cpu_shared,1.168,57.44
HYBRID SWEEP,2048,10,0.3,gh_hmm_pageable,1.514,44.34
